Planner,Domain,Instance,S0,S1,S2,S3
bfws,ricochet-robots,instance-18.pddl,0.0,0.8562870519502295,1.0,0.8688563205108719
bfws,ricochet-robots,instance-19.pddl,0.0,0.0,0.0,0.0
bfws,snake,instance-01.pddl,0.9663018555832776,0.967430053623105,0.9836409670989488,1.0
bfws,snake,instance-02.pddl,0.9899802066942133,0.9870857933060191,0.9905317230894591,1.0
bfws,snake,instance-03.pddl,0.9361945162015551,0.9735822732565459,1.0,0.943452100853561
bfws,snake,instance-04.pddl,0.9145769552624807,0.987075363348132,1.0,0.9412916370326595
bfws,snake,instance-07.pddl,0.9100675740246257,0.9845969833368321,1.0,0.964799845331005
bfws,snake,instance-08.pddl,0.9367751179207696,0.985159575097966,1.0,0.9790951461094726
bfws,snake,instance-09.pddl,0.9490219017037425,0.9845579997610023,1.0,0.9487704006282826
bfws,snake,instance-11.pddl,0.9526235758769755,0.9916120237277598,1.0,0.976957316029195
bfws,snake,instance-12.pddl,0.0,0.0,0.0,0.0
bfws,snake,instance-13.pddl,0.0,0.0,0.0,0.0
bfws,snake,instance-14.pddl,0.0,0.0,0.0,0.0
bfws,snake,instance-16.pddl,0.0,0.0,0.0,0.0
bfws,snake,instance-17.pddl,0.0,0.0,0.0,0.0
bfws,snake,instance-18.pddl,0.0,0.0,0.0,0.0
bfws,snake,instance-19.pddl,0.0,0.0,0.0,0.0
bfws,visitall,instance-01.pddl,0.8468826012253803,0.9104231853283927,0.9731788634417905,1.0
bfws,visitall,instance-02.pddl,0.9648670634880566,0.9503286992684906,0.9943965978389089,1.0
bfws,visitall,instance-03.pddl,0.9295936881854087,0.9579245648780618,0.992258246003036,1.0
bfws,visitall,instance-04.pddl,0.9848198108716554,0.9541156968578798,0.9925773163140531,1.0
bfws,visitall,instance-07.pddl,0.9563351696856085,0.9897843103119596,1.0,0.9956336948871969
bfws,visitall,instance-08.pddl,0.9766229697146647,0.9864379966834975,0.9895456083899024,1.0
bfws,visitall,instance-09.pddl,0.9900130621138621,1.0,0.9950104756587124,0.9997243615407985
bfws,visitall,instance-11.pddl,0.891065108033236,0.9208193196518636,0.9430743469677889,1.0
bfws,visitall,instance-12.pddl,0.9356673329141356,0.9540140518552355,0.9562417165143591,1.0
bfws,visitall,instance-13.pddl,0.9149385194205853,0.9696778127466164,0.994856220247588,1.0
bfws,visitall,instance-14.pddl,0.9310064947636203,0.9551380062754765,0.972189490139016,1.0
bfws,visitall,instance-16.pddl,0.9709970453673334,0.9940661517002275,0.9674850426429664,1.0
bfws,visitall,instance-17.pddl,0.8879334001117193,0.9352981730168691,0.8800218564095549,1.0
bfws,visitall,instance-18.pddl,0.9453628992286237,0.9567012706434858,0.9498378338777019,1.0
bfws,visitall,instance-19.pddl,0.9389899411133074,0.9313738309301234,0.9665219830906463,1.0
lama,barman,instance-01.pddl,0.9409000505598452,0.9369263505423632,0.9718324132071081,1.0
lama,barman,instance-02.pddl,0.9666855364827575,0.9550925983035992,0.9919499253020987,1.0
lama,barman,instance-03.pddl,0.9625645141148935,0.9699323045070506,0.9980186046289857,1.0
lama,barman,instance-04.pddl,0.9894289467190349,0.9870877283255491,0.9953994274706751,1.0
lama,barman,instance-07.pddl,0.9502499262696733,0.9527169200784241,0.9784811669738193,1.0
lama,barman,instance-08.pddl,0.9568215253820201,0.9633217157297415,0.9835079319904797,1.0
lama,barman,instance-09.pddl,0.9806268668256747,0.9761828487135836,0.9995714931684687,1.0
lama,barman,instance-11.pddl,0.975406965302195,0.9645472747653812,0.9956395908705586,1.0
lama,barman,instance-12.pddl,0.971449165845331,0.9775428042912662,0.9931582174722364,1.0
lama,barman,instance-13.pddl,0.9859308553937584,0.9794143334009897,1.0,0.9975003652470508
lama,barman,instance-14.pddl,0.9505421191249196,0.9403416794153168,0.9912362631648008,1.0
lama,barman,instance-16.pddl,0.9682085101515465,0.9830733055367461,1.0,0.9964402963823128
lama,barman,instance-17.pddl,0.9659161167066226,0.957137215841573,0.9994130413604299,1.0
lama,barman,instance-18.pddl,0.9672001423825415,0.9516992594268496,1.0,0.9971369342995594
lama,barman,instance-19.pddl,0.9745507428425338,0.9728934642089564,0.9960630512658505,1.0
lama,depots,instance-01.pddl,0.9255830214919459,0.9258066322829505,1.0,0.979750542971841
lama,depots,instance-02.pddl,0.9067377509966608,0.9077374089799556,1.0,0.9657017988940195
lama,depots,instance-03.pddl,0.9291484071951356,0.9258656169118329,1.0,0.9743598426342931
lama,depots,instance-04.pddl,0.9408003461997061,0.9428777190230616,1.0,0.9864126259340253
lama,depots,instance-07.pddl,0.9064884757220669,0.917599125623364,1.0,0.9717068527432466
