Planner,Domain,Instance,IPC_Score,LLM,Prompt_Type,Prompt_ID
madagascar,barman,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,barman,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,barman,instance-14.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
madagascar,barman,instance-16.pddl,1.0,Claude Opus 4.6,Cross_Test,1.0
madagascar,barman,instance-17.pddl,0.6441669201304651,Gemini 3.1 Pro,Arch_Aware,4.0
madagascar,barman,instance-18.pddl,0.5436763654314796,GPT-5.4,Cross_Test,1.0
madagascar,barman,instance-19.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
madagascar,depots,instance-01.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-02.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-03.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-04.pddl,1.0,DeepSeek-R1,Cross_Test,2.0
madagascar,depots,instance-07.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-08.pddl,1.0,GPT-5.4,Arch_Aware,4.0
madagascar,depots,instance-09.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-11.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-12.pddl,1.0,Gemini 3.1 Pro,Arch_Aware,4.0
madagascar,depots,instance-13.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-14.pddl,1.0,DeepSeek-R1,Cross_Test,2.0
madagascar,depots,instance-16.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-17.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-18.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,depots,instance-19.pddl,1.0,DeepSeek-R1,Arch_Aware,4.0
madagascar,ricochet-robots,instance-01.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-02.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-03.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-04.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-07.pddl,0.0,GPT-5.4,Arch_Aware,4.0
madagascar,ricochet-robots,instance-08.pddl,0.0,GPT-5.4,Arch_Aware,4.0
